State,Capital,2019 population,Change from 2000,Births 2000-2019,Deaths 2000-2019,Internal migration 2000-2019,International migration 2000-2019,2019 housing units,Housing units change from 2000,Land area,State nickname
Alabama,Montgomery,"4,841,799","+394,699","1,109,759","901,006","+85,710","+160,631","2,284,922","+314,871","50,744 square miles",Heart of Dixie
Alaska,Juneau,"736,283","+109,351","199,506","68,497","-9,032","+87,461","319,867","+58,337","571,951 square miles",Great Land
Arkansas,Little Rock,"2,967,392","+293,992","712,847","543,348","+76,445","+126,346","1,389,159","+212,364","52,068 square miles",Natural State
Arizona,Phoenix,"6,730,413","+1,599,781","1,659,007","906,630","+714,354","+702,674","3,076,048","+872,218","113,635 square miles",Grand Canyon State
California,Sacramento,"38,596,972","+4,725,324","9,587,847","4,546,217","-1,509,708","+5,001,325","14,367,012","+2,121,752","155,959 square miles",Golden State
Colorado,Denver,"5,350,101","+1,048,840","1,246,323","600,563","+212,822","+517,415","2,464,109","+642,571","103,718 square miles",Centennial State
Connecticut,Hartford,"3,594,524","+188,959","721,822","550,078","-96,328","+304,167","1,524,959","+137,334","4,845 square miles",Constitution State
Delaware,Dover,"932,487","+148,887","208,081","144,858","+46,524","+55,878","443,764","+99,487","1,954 square miles",First State
Florida,Tallahassee,"19,845,911","+3,863,533","4,071,385","3,325,544","+1,182,974","+2,224,554","9,674,053","+2,333,807","53,927 square miles",Sunshine State
Georgia,Atlanta,"10,067,278","+1,880,825","2,505,267","1,337,153","+567,135","+954,475","4,378,350","+1,072,425","57,906 square miles",Peach State
Hawaii,Honolulu,"1,414,538","+203,001","338,098","185,928","-33,108","+165,524","550,328","+88,643","6,423 square miles",Aloha State
Idaho,Boise,"1,631,112","+337,159","420,520","213,239","+112,341","+127,567","751,113","+220,565","82,747 square miles",Gem State
Illinois,Springfield,"12,884,493","+465,200","3,120,026","1,936,668","-632,866","+1,109,069","5,388,210","+490,984","55,584 square miles",Land of Lincoln
Indiana,Indianapolis,"6,593,644","+513,159","1,577,157","1,078,767","-21,734","+392,779","2,921,115","+378,800","35,867 square miles",Hoosier State
Iowa,Des Moines,"3,109,350","+183,026","720,043","523,752","-52,205","+174,061","1,418,600","+183,995","55,869 square miles",Hawkeye State
Kansas,Topeka,"2,900,475","+212,057","725,765","463,795","-69,962","+220,581","1,288,430","+153,882","81,815 square miles",Sunflower State
Kentucky,Frankfort,"4,414,349","+372,580","1,029,544","789,090","+82,517","+186,880","2,006,335","+248,822","39,728 square miles",Bluegrass State
Louisiana,Baton Rouge,"4,644,013","+175,037","1,170,903","785,948","-318,811","+249,763","2,089,824","+239,187","43,562 square miles",Pelican State
Maine,Augusta,"1,330,513","+55,590","244,831","243,455","+30,725","+8,857","750,964","+97,602","30,862 square miles",Pine Tree State
Maryland,Annapolis,"5,957,283","+660,797","1,369,078","839,872","-95,972","+626,230","2,470,307","+318,831","9,774 square miles",Old Line State
Massachusetts,Boston,"6,762,596","+413,499","1,392,818","1,026,043","-276,768","+752,989","2,928,818","+303,747","7,840 square miles",Bay State
Michigan,Lansing,"9,929,848","-8,596","2,239,510","1,668,503","-540,750","+538,953","4,629,605","+382,889","56,804 square miles",Great Lakes State
Minnesota,Saint Paul,"5,451,079","+531,600","1,291,650","735,332","-43,962","+471,290","2,477,515","+403,652","79,610 square miles",North Star State
Mississippi,Jackson,"2,990,468","+145,810","755,885","547,402","-36,545","+105,188","1,339,047","+172,477","46,907 square miles",Magnolia State
Missouri,Jefferson City,"6,056,202","+460,991","1,415,242","1,047,640","+42,041","+274,505","2,819,334","+369,696","68,886 square miles",Show Me State
Montana,Helena,"1,021,869","+119,674","220,642","166,095","+39,938","+32,762","519,938","+106,658","145,552 square miles",Treasure State
Nebraska,Lincoln,"1,879,321","+168,058","482,839","286,863","-41,144","+160,858","851,167","+126,299","76,872 square miles",Cornhusker State
Nevada,Carson City,"2,817,628","+819,371","663,290","374,232","+374,762","+254,048","1,285,681","+450,388","109,826 square miles",Silver State
New Hampshire,Concord,"1,333,341","+97,555","249,915","199,416","+35,087","+52,594","642,298","+93,711","8,968 square miles",Granite State
New Jersey,Trenton,"8,864,525","+450,175","1,991,362","1,334,328","-459,803","+981,104","3,641,854","+324,460","7,417 square miles",Garden State
New Mexico,Santa Fe,"2,089,568","+270,522","502,314","298,044","+23,215","+148,611","948,470","+165,108","121,356 square miles",The Land of Enchantment
New York,Albany,"19,651,049","+674,592","4,500,939","2,836,734","-1,686,583","+2,295,913","8,404,205","+715,541","47,214 square miles",Empire State
North Carolina,Raleigh,"9,932,887","+1,883,574","2,254,607","1,488,844","+675,016","+686,071","4,748,148","+1,207,695","48,711 square miles",Tar Heel State
North Dakota,Bismarck,"737,401","+95,201","174,351","110,784","-19,785","+57,799","379,974","+89,735","68,976 square miles",Flickertail State
Ohio,Columbus,"11,602,700","+249,560","2,663,449","2,070,496","-368,203","+494,879","5,232,943","+437,599","40,948 square miles",Buckeye State
Oklahoma,Oklahoma City,"3,878,187","+427,533","962,384","685,198","+39,463","+230,736","1,749,520","+231,419","68,667 square miles",Sooner State
Oregon,Salem,"3,963,244","+541,845","849,335","605,151","+178,547","+248,300","1,808,482","+351,095","95,997 square miles",Beaver State
Pennsylvania,Harrisburg,"12,788,313","+507,259","2,647,716","2,390,543","-40,139","+540,935","5,732,580","+474,695","44,817 square miles",Keystone State
Rhode Island,Providence,"1,055,936","+7,617","215,856","180,414","-44,649","+76,599","470,177","+29,926","1,045 square miles",Ocean State
South Carolina,Columbia,"4,823,617","+811,605","1,066,607","782,956","+310,572","+218,918","2,351,364","+588,546","30,109 square miles",Palmetto State
South Dakota,Pierre,"849,129","+94,285","217,084","133,632","+6,822","+63,296","401,749","+77,449","75,885 square miles",Mount Rushmore State
Tennessee,Nashville,"6,541,223","+851,940","1,498,863","1,126,575","+264,570","+313,847","3,028,437","+578,868","41,217 square miles",Volunteer State
Texas,Austin,"26,964,333","+6,112,513","7,152,765","3,157,555","+848,702","+3,622,926","11,283,892","+3,082,178","261,797 square miles",Lone Star State
Utah,Salt Lake City,"2,936,879","+703,710","946,719","279,021","+52,582","+426,479","1,133,543","+360,787","82,144 square miles",Beehive State
Vermont,Montpelier,"625,214","+16,387","114,478","99,805","-1,124","+14,555","339,412","+44,438","9,250 square miles",Green Mountain State
Virginia,Richmond,"8,310,993","+1,232,478","1,899,603","1,130,543","+171,420","+809,082","3,562,258","+645,849","39,594 square miles",Old Dominion
Washington,Olympia,"7,054,655","+1,160,534","1,586,133","918,624","+238,546","+756,428","3,195,098","+734,647","66,544 square miles",Evergreen State
West Virginia,Charleston,"1,849,489","+41,145","375,158","399,583","+16,018","-11,682","894,983","+48,716","24,078 square miles",Mountain State
Wisconsin,Madison,"5,751,525","+387,850","1,269,650","893,981","-10,443","+280,257","2,725,153","+396,801","54,310 square miles",Badger State
Wyoming,Cheyenne,"582,531","+88,749","133,631","81,603","+22,382","+31,321","280,281","+56,017","97,100 square miles",Equality State
